Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
Al Mertz;24/10/2011;Paphiopedilum;M.LeDoux;M.LeDoux;William Matthews;Macabre;This is not a synonym
Al Pacino;20/01/1994;Paphiopedilum;F.Booth;F.Booth;Duncan York;Albion;This is not a synonym
Al Rutel;03/04/2007;Paphiopedilum;N.Mizuno;Haiku Maui;tigrinum;parishii;This is not a synonym
Al's Pal;01/11/1988;Paphiopedilum;D.;D.;wolterianum;argus;This is not a synonym
Alabama;01/01/1989;Paphiopedilum;W.W.Wilson;W.W.Wilson;Paeony;Aladin;This is not a synonym
Alabaster;01/01/1909;Paphiopedilum;H.;H.;Godseffianum;Alcibiades;This is not a synonym
Alabaster Brook;01/01/1974;Paphiopedilum;G.A.Wright;G.A.Wright;Huddle;Hellas;This is not a synonym
Alabaster Dove;06/07/1998;Paphiopedilum;T.Root;Orchid Zone;Snow Dove;Alabaster Brook;This is not a synonym
Alabaster Knight;24/03/1997;Paphiopedilum;T.Root;Orchid Zone;Skip Bartlett;Pacific Jade;This is not a synonym
Alabaster Triumph;26/10/1999;Paphiopedilum;J.Cash;J.Cash;Alabaster Brook;Susan Tucker;This is not a synonym
Aladin;01/01/1936;Paphiopedilum;V.;V.;delenatii;Atlantis;This is not a synonym
Alain Gerbault;01/01/1929;Paphiopedilum;V.;V.;L'Yser;lawrenceanum;This is not a synonym
Alain Poher;22/10/1992;Paphiopedilum;Jard.Luxembourg;Jard.Luxembourg;sukhakulii;Solum;This is not a synonym
Alakazam;23/02/1995;Paphiopedilum;T.Root;Orchid Zone;Amanda;Algonquin;This is not a synonym
Alameda;01/01/1977;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Red Mask;Matcheck;This is not a synonym
Alamo;01/01/1955;Paphiopedilum;Horridge;Stirling;Wharfe;Rhine;This is not a synonym
Alan;01/01/1957;Paphiopedilum;R.Umaki;R.Umaki;Ernest E. Platt;Loudwater;This is not a synonym
Alan Salzman;06/06/2008;Paphiopedilum;Joe Kunisch;Joe Kunisch;armeniacum;Ma Belle;This is not a synonym
Alanule;01/01/1948;Paphiopedilum;Hankey;Hankey;Thule;Atlantis;This is not a synonym
Alaska;25/11/1992;Paphiopedilum;W.W.Wilson;W.W.Wilson;Nubian;Winston Churchill;This is not a synonym
Alastor;01/01/1932;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Pyramus;Perseus;This is not a synonym
Alasuk;12/03/1993;Paphiopedilum;R.van Rooyen;R.van Rooyen;Aladin;sukhakulii;This is not a synonym
Alauda Stone;13/08/2009;Paphiopedilum;T.Ishii;T.Ishii;delenatii;Stone Armorial;This is not a synonym
Albacon;01/01/1975;Paphiopedilum;R.Cryder;R.Cryder;concolor;Albion;This is not a synonym
Albacored;01/01/1944;Paphiopedilum;S.Low;S.Low;Moloch (1932);J. M. Black;This is not a synonym
Albane de Valec;01/01/1980;Paphiopedilum;Vach.;Vach.;delenatii;Governor Robert Gore;This is not a synonym
Albanense;01/01/1903;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];mastersianum;insigne;This is not a synonym
Albania;01/01/1941;Paphiopedilum;Miss Wrigley;Miss Wrigley;Tommycurte;Perseus;This is not a synonym
Albatross;01/01/1921;Paphiopedilum;H.;H.;Baldur;Alcibiades;This is not a synonym
Alberic;01/01/1924;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Nitens;Lady Dillon;This is not a synonym
Alberis;01/01/1934;Paphiopedilum;S.Low;S.Low;Prince Albert;Doris Stanton;This is not a synonym
Albert Fell;01/01/1950;Paphiopedilum;L.Sasso;L.Sasso;Megantic;Amazon;This is not a synonym
Albert Fisher;01/01/1920;Paphiopedilum;Black ;Black ;Pyramus;Idina;This is not a synonym
Albert Hye;01/01/1888;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];villosum;spicerianum;This is  a synonym
Albert Truffaut;01/01/1894;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];spicerianum;Harrisianum;This is  a synonym
Albert Westendorp;01/01/1905;Paphiopedilum;Deschryver;Deschryver;Oenanthum;Arthurianum;This is  a synonym
Alberta Booth;23/03/1994;Paphiopedilum;F.Booth;F.Booth;Honey;Jogjae;This is not a synonym
Albertiano-nitens;01/01/1905;Paphiopedilum;Lambeau;Lambeau;Nitens;insigne;This is  a synonym
Albertianum;01/01/1892;Paphiopedilum;Hye;Hye;spicerianum;insigne;This is  a synonym
Albertine;01/01/1982;Paphiopedilum;Lemförder Orch.;Lemförder Orch.;acmodontum;venustum;This is not a synonym
Albertomar;01/01/1952;Paphiopedilum;S.A.;S.A.;Madame Albert Février;Omar;This is not a synonym
Albino;01/01/1948;Paphiopedilum;Hankey;Hankey;Oread;Gwen Hannen;This is not a synonym
Albion;01/11/1922;Paphiopedilum;S.Low;S.Low;niveum;Astarte;This is not a synonym
Albourne;01/01/1957;Paphiopedilum;S.Low;S.Low;Tolgus;Helem;This is not a synonym
Albula;01/01/1969;Paphiopedilum;Cosanka;E.Gunzenhauser;Rosalie;Trismegistris;This is not a synonym
Alcar;01/01/1922;Paphiopedilum;C.Moore;C.Moore;Carola;Alcibiades;This is not a synonym
Alcazar;01/01/1979;Paphiopedilum;Vach.;Vach.;Bouvier;Exelmans;This is not a synonym
Alcestis;01/01/1931;Paphiopedilum;Keeling;Keeling;Hera (1892);Alabaster;This is not a synonym
Alchemist;01/01/1984;Paphiopedilum;W.Lorenzen;W.Lorenzen;Lorenzo Gomez;spicerianum;This is not a synonym
Alchemist's Dream;01/01/1980;Paphiopedilum;Stewart Inc.;Stewart Inc.;Lacrescent;Saint Helier;This is not a synonym
Alchemy;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;Yerba Nueva;Peter Black;This is not a synonym
Alcib;01/01/1919;Paphiopedilum;O/U;O/U;Prince Albert;Alcibiades;This is not a synonym
Alcibiades;01/01/1905;Paphiopedilum;H.;H.;Monsieur de Curte;Leeanum;This is not a synonym
Alcides;01/01/1890;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];insigne;hirsutissimum;This is not a synonym
Alcielwes;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Memoria H. J. Elwes;Alcibiades;This is not a synonym
Alcigul;01/01/1933;Paphiopedilum;Miss Wrigley;Miss Wrigley;Great Mogul;Alcibiades;This is not a synonym
Alcilium;01/01/1949;Paphiopedilum;O/U;O/U;Ilium;Alcibiades;This is not a synonym
Alcilyn;01/01/1954;Paphiopedilum;Sherman;Sherman;Harlyn Bay;Alcibiades;This is not a synonym
Alcimeda;07/01/1913;Paphiopedilum;O/U;N.Eng.O.S.;insigne;Alcibiades;This is  a synonym
Alcineda;01/01/1911;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;insigne;Alcibiades;This is not a synonym
Alcinous;01/01/1925;Paphiopedilum;McLaren;McLaren;Nitens-Leeanum;Florence Spencer;This is not a synonym
Alcip;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Perseus;Alcibiades;This is not a synonym
Alciphu;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Lady Phulmoni;Alcibiades;This is not a synonym
Alcippe;01/01/1898;Paphiopedilum;Cappe;Cappe;chamberlainianum;callosum;This is not a synonym
Alcithrums;01/01/1949;Paphiopedilum;O/U;O/U;Thrums;Alcibiades;This is not a synonym
Alcitonii;01/01/1928;Paphiopedilum;Bostock;Bostock;Bingleyense (1899);Alcibiades;This is not a synonym
Alcivana;01/01/1926;Paphiopedilum;Keeling;Keeling;Nirvana;Alcibiades;This is not a synonym
Alciworthii;01/01/1930;Paphiopedilum;Bromilow;Bromilow;charlesworthii;Alcibiades;This is not a synonym
Alcom;01/01/1940;Paphiopedilum;J.Berry;J.Berry;Commodore;Alcivana;This is not a synonym
Alcudia;01/01/1976;Paphiopedilum;Vach.;Vach.;Downend;Paeony;This is not a synonym
Alcyone;01/01/1915;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Smithii;Hera (1892);This is not a synonym
Aldean;01/01/1962;Paphiopedilum;Shipman;Shipman;Denehurst;Alma Gevaert;This is not a synonym
Aldeburan;25/01/1999;Paphiopedilum;T.Ishii;T.Ishii;Amanda;Treevill Crowfest;This is not a synonym
Alden;01/01/1968;Paphiopedilum;Ratcliffe;Ratcliffe;Blendia;Recruit;This is not a synonym
Alden Fouraker;01/01/1977;Paphiopedilum;J.Hanes;S.Fouraker;Spotter;Langley Pride;This is not a synonym
Alderbrook;01/01/1959;Paphiopedilum;Beall;Beall;Winston Churchill;Menthule;This is not a synonym
Alderburn;01/01/1960;Paphiopedilum;Mansell ;W.W.Wilson;Burnham;Alderman;This is not a synonym
Aldergrove;01/01/1950;Paphiopedilum;S.Low;S.Low;Ophelia;Beaufort;This is not a synonym
Alderlands;01/01/1953;Paphiopedilum;S.A.;S.A.;Brownlands;Alderman;This is not a synonym
Alderman;01/01/1929;Paphiopedilum;Black ;Black ;J. M. Black;Christopher;This is not a synonym
Alderman A. W. Smith;01/01/1956;Paphiopedilum;Keeling;Keeling;Mary Thom;Ayot Saint Lawrence;This is not a synonym
Alderwood;01/01/1971;Paphiopedilum;Ratcliffe;Ratcliffe;Hollywood;Alden;This is not a synonym
Aldingbourne;01/01/1947;Paphiopedilum;S.Low;S.Low;Moloch (1932);Conference;This is not a synonym
Aldworth;01/01/1950;Paphiopedilum;E.G.Cowan;E.G.Cowan;Balaclava;Ambition;This is not a synonym
Aldwyn;01/01/1946;Paphiopedilum;A.Barlow;A.Barlow;Yellow Bird;Noel Hardy;This is not a synonym
Aldwyth L. Berry;01/01/1938;Paphiopedilum;W.G.Berry;W.G.Berry;Mrs. Eley;Maudiae;This is not a synonym
Alector;01/01/1895;Paphiopedilum;Veitch;Veitch;spicerianum;barbatum;This is  a synonym
Alegre;01/01/1948;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];lawrenceanum;Alain Gerbault;This is not a synonym
Aleisha Pynes;09/02/2009;Paphiopedilum;Paphyville;H.Tan;rothschildianum;Prime Child;This is not a synonym
Aleksandra Szlachetko;17/01/2001;Paphiopedilum;P.Bertaux;P.Bertaux;henryanum;wardii;This is not a synonym
Alencon;01/01/1975;Paphiopedilum;Vach.;Vach.;Rollright;Fugue;This is not a synonym
Alene;01/01/1936;Paphiopedilum;Aberconway;Aberconway;Hercules;Cardinal Mercier;This is not a synonym
Aleppo;01/01/1953;Paphiopedilum;F.;F.;Scipio;Alcibiades;This is not a synonym
Aleta;01/01/1952;Paphiopedilum;Armacost;Armacost;Gillian;Prince Albert;This is not a synonym
Alethea;01/01/1916;Paphiopedilum;Warburton;Warburton;Hera (1892);Gaston Bultel;This is not a synonym
Aletsch;01/01/1975;Paphiopedilum;E.Gunzenhauser;E.Gunzenhauser;Fred Cosanka;Mississippi;This is not a synonym
Aleuca;01/01/1935;Paphiopedilum;Aberconway;Aberconway;Perseus;Gwen Hannen;This is not a synonym
Alewa;01/01/1978;Paphiopedilum;Dr T.Fujiwara;Dr T.Fujiwara;glaucophyllum;Aurobe;This is not a synonym
Alex Maximiano;01/12/2011;Paphiopedilum;Lehua;Lehua;Red Legacy;Red Triumph;This is not a synonym
Alex Szabo;03/04/2002;Paphiopedilum;Papa Aroha;Ezi-Gro;Ruth Curran;Pavarotti;This is not a synonym
Alex's Spots;28/03/2000;Paphiopedilum;R.J.Rands;S.Ohlund;kolopakingii;lowii;This is not a synonym
Alexa Noel;31/12/2009;Paphiopedilum;Orchid Inn Ltd.;S.Helbling;rothschildianum;Hatsue Otsuka;This is not a synonym
Alexander Christopher;19/01/2005;Paphiopedilum;Svoboda Jr,A.C.;Svoboda Jr,A.C.;Alsan's Round;Heart of Palenque;This is not a synonym
Alexander Dalgleish;01/01/1948;Paphiopedilum;Stirling;Stirling;Oaklands;Anthony Eden;This is not a synonym
Alexander Kirkbright;01/01/1955;Paphiopedilum;Mansell ;Kirkbright;Makeda;Tom Worsley;This is not a synonym
Alexander Luce;03/07/1991;Paphiopedilum;R.Ernst;R.Ernst;Candle Light;Cinderella;This is not a synonym
Alexanderplatz;13/01/2005;Paphiopedilum;J.Jäger;J.Jäger;Great Pacific;Berlin;This is not a synonym
Alexandrae (1);01/01/1903;Paphiopedilum;Fournier;Fournier;insigne;chamberlainianum;This is  a synonym
Alexandrae (2);01/01/1903;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Nitens;godefroyae;This is  a synonym
Alexandre Debille;01/01/1903;Paphiopedilum;Debille;Debille;Lathamianum;insigne;This is  a synonym
Alexandrite;22/03/2002;Paphiopedilum;M.Yamazaki;M.Yamazaki;Novisphere;Winston Churchill;This is not a synonym
Alexej;19/06/2007;Paphiopedilum;R.Klinge;O.Gruss;hangianum;rothschildianum;This is not a synonym
Alexia Pynes;30/03/2008;Paphiopedilum;Paphyville;H.Tan;victoria-mariae;supardii;This is not a synonym
Alexillon;01/01/1936;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Douglas;Charlotte Dillon;This is not a synonym
Alfa Khuong;18/01/2007;Paphiopedilum;A.Falcinelli;N.K.Nguyen;Pisar;malipoense;This is not a synonym
Alfadir;23/06/2008;Paphiopedilum;T.Hill;T.Hill;Spotglen;Normandy;This is not a synonym
Alfimo;01/01/1948;Paphiopedilum;F.;F.;Memoria H. J. Elwes;Albert Fisher;This is not a synonym
Alfred;01/01/1890;Paphiopedilum;D.Drewett;D.Drewett;venustum;philippinense;This is  a synonym
Alfred Blakey;01/01/1953;Paphiopedilum;Keeling;Keeling;Worsleyi;Brabazon;This is not a synonym
Alfred Bleu;01/01/1892;Paphiopedilum;Bleu;Bleu;insigne;ciliolare;This is not a synonym
Alfred Hollington;01/01/1895;Paphiopedilum;Hollington;Hollington;philippinense;ciliolare;This is not a synonym
Alfred Keeling;01/01/1956;Paphiopedilum;Keeling;Conn;Tearlath;Charles Keeling;This is not a synonym
Alfred Schmidt;14/01/2011;Paphiopedilum;L'Amazone;L'Amazone;adductum;Big Moustache;This is not a synonym
Alfred Tetzlaff;22/02/2005;Paphiopedilum;H.Pinkepank;H.Pinkepank;vietnamense;godefroyae;This is not a synonym
Alfred Thierrard (1);01/01/1901;Paphiopedilum;Cappe;Cappe;Harrisianum;boxallii;This is  a synonym
Alfred Thierrard (2);01/01/1901;Paphiopedilum;Cappe;Cappe;villosum;Harrisianum;This is  a synonym
Alfredi;01/01/1893;Paphiopedilum;Bleu;Bleu;insigne;ciliolare;This is  a synonym
Alfredianum;01/01/1900;Paphiopedilum;Bleu;Bleu;Superciliare;Alfred Bleu;This is not a synonym
Alfriston;01/01/1944;Paphiopedilum;Black ;Black ;Lochinvar;Aylesbury;This is not a synonym
Algonquin;01/11/1976;Paphiopedilum;W.W.Wilson;W.W.Wilson;Winston Churchill;Redezelle;This is not a synonym
Alhambra;23/06/2008;Paphiopedilum;T.Hill;T.Hill;Gigi;Vashon Legacy;This is not a synonym
Alhunter;01/01/1952;Paphiopedilum;S.A.;S.A.;Mildred Hunter;Alcibiades;This is not a synonym
Ali Taba;01/01/1978;Paphiopedilum;Clark Day;Clark Day;fairrieanum;Paeony;This is not a synonym
Alibangbang;01/01/1949;Paphiopedilum;S.A.;S.A.;Saint Lawrence;Ambition;This is not a synonym
Alicanti;01/01/1976;Paphiopedilum;Az. Florentia;Ratcliffe;Chianti;Albion;This is not a synonym
Alice;01/01/1890;Paphiopedilum;D.Drewett;D.Drewett;stonei;spicerianum;This is not a synonym
Alice Barrios;29/06/2006;Paphiopedilum;Orchid Zone;Paphanatics;primulinum;Norito Hasegawa;This is not a synonym
Alice Bell;08/12/1993;Paphiopedilum;A.Mochizuki;A.Mochizuki;Oriental Venus;Alma Gevaert;This is not a synonym
Alice Cain;04/04/1995;Paphiopedilum;J.Hanes;J.R.Edwards;Little Irene;Leah Hanes;This is not a synonym
Alice Doherty;10/03/2003;Paphiopedilum;J.Doherty;J.Doherty;Geisha Doll;Onyx;This is not a synonym
Alice Eyles;26/02/2007;Paphiopedilum;O/U;W.Eyles;Ruby Peacock;Black Currants;This is not a synonym
Alice Gaunt;01/01/1958;Paphiopedilum;Keeling;Gaunt;Momag;Memoria J. H. Walker;This is not a synonym
Alice Gripp;01/01/1974;Paphiopedilum;Santa Barbara;Santa Barbara;San Carlos;Honey Dew;This is not a synonym
Alice Pink;01/01/1972;Paphiopedilum;Ratcliffe;Ratcliffe;Lockinge;F. C. Puddle;This is not a synonym
Alien Force;02/12/1993;Paphiopedilum;Colourfull Nurs.;Orchid Zone;Via Quatal;venustum;This is not a synonym
Alien Surfer Dude;25/08/2009;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Hampshire Surfs Up;Hsinying Alien;This is not a synonym
Alien World;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;victoria-regina;Hiero;This is not a synonym
Aliescum;01/01/1957;Paphiopedilum;The Lord Sieff;The Lord Sieff;Cullum;Floralies;This is not a synonym
Alinda Stone;13/08/2009;Paphiopedilum;T.Ishii;T.Ishii;Via Choice;Tommie Hanes;This is not a synonym
Aline Raynal;12/02/2003;Paphiopedilum;P.Bertaux;P.Bertaux;Karen Muir;niveum;This is not a synonym
Alioth;12/04/2006;Paphiopedilum;T.Ishii;T.Ishii;Winston Churchill;Takatsu;This is not a synonym
Alipore;01/01/1937;Paphiopedilum;N.Pocock;N.Pocock;The President;Elaine;This is not a synonym
Alisal;01/01/1974;Paphiopedilum;R.Cryder;R.Cryder;robinsonii;callosum;This is not a synonym
Alison Ayre;01/01/1940;Paphiopedilum;Jensen;Jensen;Juliet;Cardinal Mercier;This is not a synonym
Alison Jensen;01/01/1945;Paphiopedilum;Jensen;Jensen;Gwendolin;Grace Darling;This is not a synonym
Alistair MacIan;01/01/1940;Paphiopedilum;Jensen;Jensen;Theseus;Cardinal Mercier;This is not a synonym
Alix de Valec;01/01/1982;Paphiopedilum;Vach.;Vach.;Calvi;delenatii;This is not a synonym
Alix Walwyn;01/01/1956;Paphiopedilum;Stirling;Stirling;Winsome;Christopher;This is not a synonym
All Amber;08/03/1995;Paphiopedilum;Ratcliffe;Ratcliffe;Tangold;Amanda;This is not a synonym
All Spot Knight;10/07/2001;Paphiopedilum;T.Ohkubo;T.Ohkubo;Parry Gripp;Burpham;This is not a synonym
All-American;09/11/1994;Paphiopedilum;Orchids Royale;Orchids Royale;Pandemonium;Cabaret;This is not a synonym
All's Well;16/03/1998;Paphiopedilum;Paphanatics;Paphanatics;Wellesleyanum;Round About;This is not a synonym
Allamuchy;06/02/1995;Paphiopedilum;W.W.Wilson;W.W.Wilson;Blenheim Palace;Red Angel;This is not a synonym
Allanianum;01/01/1893;Paphiopedilum;Pitcher;Pitcher;spicerianum;curtisii;This is not a synonym
Allegro;27/04/2009;Paphiopedilum;Orchid Zone;Kita-Cal;Thunder Sea;Gridlock;This is not a synonym
Allen Clark;28/10/2003;Paphiopedilum;Paphanatics;Paphanatics;Franz Glanz;malipoense;This is not a synonym
Allencourt;01/01/1962;Paphiopedilum;Wyld Court;Wyld Court;Supreme Court;Allendale;This is not a synonym
Allendale;01/01/1936;Paphiopedilum;C.Cookson;C.Cookson;Thias;Gold Mohur;This is not a synonym
Allertonense;01/01/1897;Paphiopedilum;Tate;Tate;villosum;bellatulum;This is not a synonym
Allerwash;01/01/1935;Paphiopedilum;C.Cookson;C.Cookson;Londinum;Cappamagna;This is not a synonym
Alliance;01/01/1916;Paphiopedilum;Worsley;Worsley;Leeanum;Alcides;This is not a synonym
Alliance II;01/01/1921;Paphiopedilum;Hanbury;Hanbury;Hera (1892);boxallii;This is not a synonym
Allies;01/01/1954;Paphiopedilum;F.;F.;Jura;Alliance;This is not a synonym
Allison;01/01/1944;Paphiopedilum;S.Low;S.Low;Sir Trevor;Azeta;This is not a synonym
Allison Levick;01/01/1958;Paphiopedilum;Black ;Black ;Ingenueuse;Ernest E. Platt;This is not a synonym
Allright;01/01/1975;Paphiopedilum;Vach.;Vach.;Rollright;Allure;This is not a synonym
Allspice;01/01/1960;Paphiopedilum;Mansell ;W.W.Wilson;spicerianum;Tearlath;This is not a synonym
Allure;01/01/1938;Paphiopedilum;Cooke;Cooke;Robert Paterson;Nesta II;This is not a synonym
Alma;01/01/1915;Paphiopedilum;H.;H.;Aureum;Actaeus;This is not a synonym
Alma Gevaert;01/11/1911;Paphiopedilum;Pauwels;Pauwels;Maudiae;lawrenceanum;This is not a synonym
Alma Klehm;18/12/2000;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;callosum;Almum;This is not a synonym
Alma Mater;16/07/2001;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Alma Gevaert;Almum;This is not a synonym
Alma Tadema;01/01/1936;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];delenatii;Alma Gevaert;This is not a synonym
Alma's Key Lime XOXO;21/12/2012;Paphiopedilum;O/U;J.Lawson;Alma Gevaert;Key Lime;This is not a synonym
Alma's Moon;14/04/2008;Paphiopedilum;Orchid Zone;Lehua;Luna Moth;Alma Gevaert;This is not a synonym
Alma's Wish;14/04/2008;Paphiopedilum;Orchid Zone;Lehua;Hsinying Makurow;Alma Gevaert;This is not a synonym
Almalune;01/01/1960;Paphiopedilum;Mansell ;W.W.Wilson;Alma Gevaert;Clair de Lune;This is not a synonym
Almaud;01/01/1945;Paphiopedilum;V.;V.;Maudiae;Alma Gevaert;This is not a synonym
Almedraco;01/01/1926;Paphiopedilum;Paterson;Paterson;Draco;Alcineda;This is not a synonym
Almenii;01/01/1954;Paphiopedilum;Sherman;Sherman;Holdenii;Alma Gevaert;This is not a synonym
Almona;01/01/1952;Paphiopedilum;F.;F.;Desdemona (1914);Alcibiades;This is not a synonym
Almondine;20/08/1991;Paphiopedilum;Ratcliffe;Ratcliffe;F. C. Puddle;acmodontum;This is not a synonym
Almos;01/01/1895;Paphiopedilum;Ebner;Ebner;villosum;insigne;This is  a synonym
Almum;01/01/1887;Paphiopedilum;N.C.Cookson;N.C.Cookson;lawrenceanum;barbatum;This is not a synonym
Alocus;01/01/1930;Paphiopedilum;C.Cookson;C.Cookson;Chrysostom;Bantam;This is not a synonym
Aloha Memi;11/09/2008;Paphiopedilum;I.Muramatsu;I.Muramatsu;niveum;Burpham;This is not a synonym
Aloha Oe;30/06/2011;Paphiopedilum;F.Sugiyama;Yamato-Noen;Fire Fighter;Amanda;This is not a synonym
Aloha Wakami Toyota;01/01/1975;Paphiopedilum;W.Toyota;W.Toyota;Aiko Yamamoto;Moreton Bay;This is not a synonym
Alois Handlbauer;04/04/2008;Paphiopedilum;Handlbauer;F.Glanz;hangianum;x fanaticum;This is not a synonym
Alondin;01/01/1938;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Londinum;Alcibiades;This is not a synonym
Alonzo;01/01/1897;Paphiopedilum;Veitch;Veitch;spicerianum;Arthurianum;This is  a synonym
Aloria;01/01/1936;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Gloria;Arthurianum;This is not a synonym
Alouette;01/01/1951;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Theseus;Chouette;This is not a synonym
Alpenglühn;01/01/1977;Paphiopedilum;W.Elsner;W.Elsner;Grove;Solferino;This is not a synonym
Alpenhorn;01/01/1955;Paphiopedilum;Cooke;Cooke;Orestes;Cameo;This is not a synonym
Alpha;01/01/1939;Paphiopedilum;R.W.Jones;R.W.Jones;Olive;Grace Darling;This is not a synonym
Alphadoll;31/08/1993;Paphiopedilum;H.Doll;H.Doll;My Daughter;Keyeshill;This is not a synonym
Alphahill;04/07/2011;Paphiopedilum;Orchids Royale;Orchids Royale;Alphadoll;Tiger Hill;This is not a synonym
Alpine;01/01/1980;Paphiopedilum;Santa Barbara;Santa Barbara;Lunadean;Sunol;This is not a synonym
Alpine Lass;01/01/1980;Paphiopedilum;J.Hanes;J.Hanes;Pittsburg;San Francisco;This is not a synonym
Alpine Meadows;01/01/1979;Paphiopedilum;J.Hanes;J.Hanes;Benenden;Beauté;This is not a synonym
Alpine Ridge;15/12/1999;Paphiopedilum;Orchids Royale;Orchids Royale;Alma Gevaert;Response;This is not a synonym
Alport;01/01/1899;Paphiopedilum;Gratrix;Gratrix;rothschildianum;lawrenceanum;This is  a synonym
